시간의 모래시계,레벨,효과,다음 레벨 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem
,0,레벨업 필요 EXP 0% 증가 환생 시 RP 획득량 0% 증가 (시간 대비 RP 효율 동일),-,0,💎 100,100
,1,레벨업 필요 EXP 10% 증가 환생 시 RP 획득량 10% 증가 (시간 대비 RP 효율 동일),36,36,,100
,2,레벨업 필요 EXP 20% 증가 환생 시 RP 획득량 20% 증가 (시간 대비 RP 효율 동일),43,79,,100
,3,레벨업 필요 EXP 30% 증가 환생 시 RP 획득량 30% 증가 (시간 대비 RP 효율 동일),52,131,,100
,4,레벨업 필요 EXP 40% 증가 환생 시 RP 획득량 40% 증가 (시간 대비 RP 효율 동일),62,193,,100
,5,레벨업 필요 EXP 50% 증가 환생 시 RP 획득량 50% 증가 (시간 대비 RP 효율 동일),75,268,💎 103,203
,6,레벨업 필요 EXP 60% 증가 환생 시 RP 획득량 60% 증가 (시간 대비 RP 효율 동일),89,357,,203
,7,레벨업 필요 EXP 70% 증가 환생 시 RP 획득량 70% 증가 (시간 대비 RP 효율 동일),107,464,,203
,8,레벨업 필요 EXP 80% 증가 환생 시 RP 획득량 80% 증가 (시간 대비 RP 효율 동일),129,593,,203
,9,레벨업 필요 EXP 90% 증가 환생 시 RP 획득량 90% 증가 (시간 대비 RP 효율 동일),155,748,,203
,10,레벨업 필요 EXP 100% 증가 환생 시 RP 획득량 100% 증가 (시간 대비 RP 효율 동일),186,934,💎 107,310
,11,레벨업 필요 EXP 110% 증가 환생 시 RP 획득량 110% 증가 (시간 대비 RP 효율 동일),223,"1,157",,310
,12,레벨업 필요 EXP 120% 증가 환생 시 RP 획득량 120% 증가 (시간 대비 RP 효율 동일),268,"1,425",,310
,13,레벨업 필요 EXP 130% 증가 환생 시 RP 획득량 130% 증가 (시간 대비 RP 효율 동일),321,"1,746",,310
,14,레벨업 필요 EXP 140% 증가 환생 시 RP 획득량 140% 증가 (시간 대비 RP 효율 동일),386,"2,132",,310
,15,레벨업 필요 EXP 150% 증가 환생 시 RP 획득량 150% 증가 (시간 대비 RP 효율 동일),463,"2,595",💎 113,423
,16,레벨업 필요 EXP 160% 증가 환생 시 RP 획득량 160% 증가 (시간 대비 RP 효율 동일),555,"3,150",,423
,17,레벨업 필요 EXP 170% 증가 환생 시 RP 획득량 170% 증가 (시간 대비 RP 효율 동일),666,"3,816",,423
,18,레벨업 필요 EXP 180% 증가 환생 시 RP 획득량 180% 증가 (시간 대비 RP 효율 동일),800,"4,616",,423
,19,레벨업 필요 EXP 190% 증가 환생 시 RP 획득량 190% 증가 (시간 대비 RP 효율 동일),959,"5,575",,423
,20,레벨업 필요 EXP 200% 증가 환생 시 RP 획득량 200% 증가 (시간 대비 RP 효율 동일),"1,151","6,726",💎 123,546
,21,레벨업 필요 EXP 210% 증가 환생 시 RP 획득량 210% 증가 (시간 대비 RP 효율 동일),"1,380","8,106",,546
,22,레벨업 필요 EXP 220% 증가 환생 시 RP 획득량 220% 증가 (시간 대비 RP 효율 동일),"1,656","9,762",,546
,23,레벨업 필요 EXP 230% 증가 환생 시 RP 획득량 230% 증가 (시간 대비 RP 효율 동일),"1,987","11,749",,546
,24,레벨업 필요 EXP 240% 증가 환생 시 RP 획득량 240% 증가 (시간 대비 RP 효율 동일),"2,385","14,134",,546
,25,레벨업 필요 EXP 250% 증가 환생 시 RP 획득량 250% 증가 (시간 대비 RP 효율 동일),"2,862","16,996",💎 137,683
,26,레벨업 필요 EXP 260% 증가 환생 시 RP 획득량 260% 증가 (시간 대비 RP 효율 동일),"3,434","20,430",,683
,27,레벨업 필요 EXP 270% 증가 환생 시 RP 획득량 270% 증가 (시간 대비 RP 효율 동일),"4,121","24,551",,683
,28,레벨업 필요 EXP 280% 증가 환생 시 RP 획득량 280% 증가 (시간 대비 RP 효율 동일),"4,945","29,496",,683
,29,레벨업 필요 EXP 290% 증가 환생 시 RP 획득량 290% 증가 (시간 대비 RP 효율 동일),"5,934","35,430",,683
,30,레벨업 필요 EXP 300% 증가 환생 시 RP 획득량 300% 증가 (시간 대비 RP 효율 동일),"7,121","42,551",,683
